"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"SPGF1","2012-01-09T06:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","95","8","40",,,,,"10229",,,"0","198",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VQKZ6","2012-01-09T06:00:00","20.80","-74.10",,,"1","6","0","0","7","4","1","1","GB","0","40","3","93","0","98","3","2","10180","4","0","0","250","0","215","1","196","0","225","7","3","7","0","2","7","8",,"5","4","4","7","6","242","4","926","112","5","1","0","1","411111","11111111111111",,,"4","1","8","1","2","0",,,,,,,,,,,,"4",,,"9","11111111111119111111","5","336","337","18","6","3","33","154"
"WGJT","2012-01-09T06:00:00","26.30","-79.00",,,"1","6","0","0","6","3",,"1",,"0","70","4","72",,"98","2","2","10223",,,"3","211","0","189",,"170","1","222","4","4","A",,"8","0","8",,"2","1",,,,"242","69","992","114","5","1","2","1","111111","111111111111AA",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"ZCDG4","2012-01-09T06:00:00","23.70","-79.30",,,"1","6","0","0","3","5",,"1",,"0","80","3","165",,"98","1","0","10206","7","20","0","214",,,,"174","1","270","2","2","1",,"4","0","0",,"3","2","7","7","3","242","39","992","114","5","1","2","1","112111","1111111A111111",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"ZCDP8","2012-01-09T06:00:00","22.90","-73.60",,,"1","6","0","0","2","4",,"1",,"0","50","3","118",,"98","1","1","10204","7","12","0","235","0","180",,"142","1","260","2","2","1",,"6","0","0",,"3","2","8","3","4","242","23","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"ZCDY2","2012-01-09T06:00:00","25.70","-77.00",,,"1","6","0","0","2","4",,"1",,"0","220","4","82",,"98","3","1","10216","1","6","0","218","0","180",,"155","1","240","5","5","4",,"5","0","0",,"1","1","7","3","2","242","57","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","1",,"0",,,,,,,,,,,"4",,,,,,,,,,,,
"41945","2012-01-09T06:10:00","28.70","-70.97",,,"1","3","2","5",,,,"3",,,,,,,,,,"10230",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-09T06:10:00","22.21","-71.00",,,"1","3","2","5",,,,"3",,,,,,,,,,"10198",,,"3",,,,,,,"255",,,,,,,,,,,,,,"242","21","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-09T06:18:00","27.42","-77.46",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"239",,,,,,,,,,,,,,"242","77","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-09T06:18:00","26.76","-76.39",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T06:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","55","8","13",,,,,"10233",,,"0","212",,,,,,"230",,,,,,,,,"11","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-09T06:20:00","29.07","-73.32",,,"1","3","2","5",,,,"3",,,,,,,,,,"10239",,,"3",,,,,,,"222",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-09T06:20:00","27.05","-73.06",,,"1","3","2","5",,,,"3",,,,,,,,,,"10228",,,"3",,,,,,,"218",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-09T06:23:00","23.34","-72.71",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"254",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-09T06:30:00","28.79","-71.62",,,"1","3","2","5",,,,"3",,,,,,,,,,"10232",,,"3",,,,,,,"222",,,,,,,,,,,,,,"242","81","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-09T06:40:00","27.61","-75.73",,,"1","3","2","5",,,,"3",,,,,,,,,,"10229",,,"3",,,,,,,"231",,,,,,,,,,,,,,"242","75","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T06:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"10","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T06:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"9","10","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T07:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","60","1","10",,,,,"10230",,,"9","211",,,,,"1","230",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T07:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","40","1","60",,,,,"10228",,,"9","219",,,,,"1","249",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6VG7","2012-01-09T07:00:00","25.90","-78.30",,,"1","6","0","0","2",,,"1",,"0","110","4","72",,"98",,"1","10210","4",,"0","260",,,,,"1","260","4","3","4",,"7","3","1",,"3","1",,"3","1","242","58","992","114","5","1","2","1","11111F","111A111AA11177",,,,,,"1","1",,,"3","1",,,,,,,,,"4",,,,,,,,,,,,
"HPYE","2012-01-09T07:00:00","22.00","-70.60",,,"1","6","0","0","3","4",,"1",,"0","30","3","129",,"97","81","8","10140","4",,"3","230","0","180",,"150","1","250","5","5","2",,"7","A","A",,"4","6",,,,"242","20","992","114","5","1","2","1","111111","111111111111A7",,,,,,"1","8",,,,,,,,,,,,,"4",,,,,,,,,,,,
"J8NW","2012-01-09T07:00:00","23.90","-74.80",,,"1","6","0","0","7","3",,"1",,"0","120","3","46",,,,,"10204","0","120","3","260","0","250",,"250","1","260","2","2","2",,"8","A","A",,"8","4","5","12","6","242","34","992","114","5","1","2","1","111111","11AAA111111111",,,,,,"3",,,"5","10","4",,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-09T07:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","94","8","38",,,,,"10224",,,"0","196",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZCDG4","2012-01-09T07:00:00","23.40","-79.10",,,"1","6","0","0","3","5",,"1",,"0","80","3","154",,"98","3","0","10198","7","22","0","215",,,,"173","1","270","3","3","1",,"4","0","0",,"3","2","7","7","3","242","39","992","114","5","1","2","1","111111","1111111A111111",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"41945","2012-01-09T07:10:00","28.70","-70.97",,,"1","3","2","5",,,,"3",,,,,,,,,,"10228",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-09T07:10:00","22.22","-71.00",,,"1","3","2","5",,,,"3",,,,,,,,,,"10192",,,"3",,,,,,,"255",,,,,,,,,,,,,,"242","21","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-09T07:15:00","26.76","-76.39",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-09T07:17:00","23.34","-72.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T07:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"11","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-09T07:20:00","29.07","-73.35",,,"1","3","2","5",,,,"3",,,,,,,,,,"10237",,,"3",,,,,,,"222",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-09T07:20:00","27.05","-73.04",,,"1","3","2","5",,,,"3",,,,,,,,,,"10226",,,"3",,,,,,,"219",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-09T07:22:00","27.43","-77.48",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"239",,,,,,,,,,,,,,"242","77","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-09T07:23:00","26.76","-76.40",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-09T07:30:00","28.78","-71.61",,,"1","3","2","5",,,,"3",,,,,,,,,,"10230",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","81","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-09T07:40:00","27.61","-75.72",,,"1","3","2","5",,,,"3",,,,,,,,,,"10226",,,"3",,,,,,,"231",,,,,,,,,,,,,,"242","75","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T07:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"11","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T07:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"11","10","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T08:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","90","1","20",,,,,"10223",,,"9","211",,,,,"1","230",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T08:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","20","1","60",,,,,"10226",,,"9","218",,,,,"1","249",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6VG7","2012-01-09T08:00:00","25.90","-78.30",,,"1","6","0","0","3","1",,"1",,"0","80","4","113",,"97",,,"10210","4","0","0","210",,,,,,,"8","8","1",,"7","A","A",,,,,,,"242","58","992","114","5","1","2","1","F1111F","111AA11AAA1AA1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"HPYE","2012-01-09T08:00:00","21.80","-70.30",,,"1","6","0","0","3","4",,"1",,"0","30","3","129",,"97","81","8","10140","4",,"3","230","0","180",,"150","1","250","5","5","2",,"7","A","A",,"4","6",,,,"242","10","992","114","5","1","2","1","111111","111111111111A7",,,,,,"1","8",,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-09T08:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","91","8","46",,,,,"10219",,,"0","195",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-09T08:03:00","23.35","-72.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"254",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-09T08:03:00","27.43","-77.49",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"238",,,,,,,,,,,,,,"242","77","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41945","2012-01-09T08:10:00","28.70","-70.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10224",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-09T08:10:00","22.23","-70.99",,,"1","3","2","5",,,,"3",,,,,,,,,,"10189",,,"3",,,,,,,"255",,,,,,,,,,,,,,"242","20","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T08:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"10","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-09T08:20:00","29.08","-73.37",,,"1","3","2","5",,,,"3",,,,,,,,,,"10233",,,"3",,,,,,,"222",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-09T08:20:00","27.05","-73.02",,,"1","3","2","5",,,,"3",,,,,,,,,,"10222",,,"3",,,,,,,"218",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-09T08:27:00","27.43","-77.49",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"239",,,,,,,,,,,,,,"242","77","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-09T08:27:00","26.76","-76.40",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-09T08:30:00","28.78","-71.60",,,"1","3","2","5",,,,"3",,,,,,,,,,"10226",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","81","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-09T08:40:00","27.61","-75.71",,,"1","3","2","5",,,,"3",,,,,,,,,,"10219",,,"3",,,,,,,"231",,,,,,,,,,,,,,"242","75","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T08:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","123","8","29",,,,,"10219",,,"0","211",,,,,,"230",,,,,,,,,"11","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T08:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5","43","8","61",,,,,"10220",,,"0","218",,,,,,"248",,,,,,,,"11","9","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T09:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","120","1","30",,,,,"10219",,,"9","211",,,,,"1","230",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T09:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","40","1","60",,,,,"10220",,,"9","218",,,,,"1","248",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8OF6","2012-01-09T09:00:00","20.80","-71.60",,,"1","6","0","0","1","4",,"1","DE","0","50","3","139","0","98","1","2","10160","7","5","0","250","0","215","1","199","3","260","5","5","2","0","6","7",,,"5","4",,,,"242","1","926","112","5","1","0","1","111111","111111111111A1",,,"4","1","8","1","2","0",,,,,,,,,,,,"4",,,"6","11111111111191551111","5",,,,,,,
"C6UZ7","2012-01-09T09:00:00","26.80","-77.10",,,"1","5","0","0","3","4",,"1",,"0","70","4","67",,,,,"10210","4","0","0","210","0","180",,"164","1","230",,,,,"A",,,,,,,,,"242","67","992","114","5","1","2","1","111111","11AAA111118AA1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6VG7","2012-01-09T09:00:00","25.90","-78.30",,,"1","6","0","0","2",,,"1",,"0","90","4","72",,"97",,"0","10200","7","10","0","260",,,,,"1","270","4","3","1",,"7","8","5",,"2","1",,"2","1","242","58","992","114","5","1","2","1","11111F","111A111AA11171",,,,,,"1","0",,,"2","1",,,,,,,,,"4",,,,,,,,,,,,
"HPYE","2012-01-09T09:00:00","21.60","-70.10",,,"1","6","0","0","3","4",,"1",,"0","50","3","139",,"97","80","8","10130","6",,"3","240","0","180",,"150","1","250","5","5","2",,"6","A","A",,"4","5",,,,"242","10","992","114","5","1","2","1","111111","111111111111A7",,,,,,"1","8",,,,,,,,,,,,,"4",,,,,,,,,,,,
"PHOS","2012-01-09T09:00:00","22.10","-71.80",,,"1","6","0","0","3","3",,"1",,"0","40","3","129",,"97","2","0","10178","4",,"0","230",,,,,"1","260","3","3","A",,"7","A","A",,,,,,,"242","21","992","114","5","1","2","1","11111F","1111111AA11AA7",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-09T09:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","86","8","53",,,,,"10213",,,"0","197",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZCDP8","2012-01-09T09:00:00","22.50","-72.60",,,"1","6","0","0","2","4",,"1",,"0","50","3","144",,"98","1","0","10184","7","12","0","234","0","188",,"159","1","260","2","2","1",,"5","0","0",,"3","3","5","3","4","242","22","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"41945","2012-01-09T09:10:00","28.70","-70.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10221",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-09T09:10:00","22.23","-70.98",,,"1","3","2","5",,,,"3",,,,,,,,,,"10190",,,"3",,,,,,,"255",,,,,,,,,,,,,,"242","20","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T09:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","108","8","27",,,,,"10224",,,"0","211",,,,,,"230",,,,,,,,,"10","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-09T09:20:00","29.09","-73.39",,,"1","3","2","5",,,,"3",,,,,,,,,,"10230",,,"3",,,,,,,"222",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-09T09:20:00","27.05","-73.02",,,"1","3","2","5",,,,"3",,,,,,,,,,"10216",,,"3",,,,,,,"218",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-09T09:30:00","28.78","-71.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10221",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","81","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-09T09:37:00","27.43","-77.49",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242","77","714","63","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-09T09:38:00","26.76","-76.40",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-09T09:40:00","27.61","-75.71",,,"1","3","2","5",,,,"3",,,,,,,,,,"10216",,,"3",,,,,,,"231",,,,,,,,,,,,,,"242","75","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T09:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"10","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T09:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"10","9","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-09T10:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","110","1","20",,,,,"10230",,,"9","211",,,,,"1","230",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-09T10:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","50","1","60",,,,,"10219",,,"9","217",,,,,"1","245",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6VG7","2012-01-09T10:00:00","25.90","-78.30",,,"1","6","0","0","3","1",,"1",,"0","100","4","72",,"98",,"2","10210","2","6","3","210","0","153",,"110","1","270","5","5","1",,"5","A","A",,"2","2","4",,,"242","58","992","114","5","1","2","1","111111","111A1111111171",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"PBWQ","2012-01-09T10:00:00","25.60","-76.60",,,"1","6","0","0","2","3",,"1",,"0","70","4","103",,"98","3","0","10218","8","20","0","216",,,,"143","1","243","3","3","2",,"4","A","A",,"4","3",,,,"242","56","992","114","5","1","2","1","111111","1111111A1111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-09T10:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","74","8","52",,,,,"10219",,,"0","199",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
